"Hatsuhana Restaurant, Inc","17 East 48th Street Floor 3, New York, NY",(212) 355-3345
Deacon Brodie's,"370 West 46th Street, New York, NY",(212) 262-1452
Rice Take Out Restaurant,"292 Elizabeth Street Apartment A, New York, NY",(212) 226-5775
Sardi's Enterprises Limited,"234 West 44th Street # 300, New York, NY",(212) 221-8440
Koren Helen's Restaurant,"807 Lexington Avenue, New York, NY",(212) 755-0122
Masq Bar & Restaurant,"306 East 49th Street Front A, New York, NY",(212) 644-8294
Bxl Zoute,"50 West 22nd Street Front 4, New York, NY",(646) 692-9282
Lex Food Inc,"790 Lexington Avenue Front 1, New York, NY",(212) 759-7811
Tropicana Rest Inc,"4042 Junction Boulevard, Corona, NY",(718) 426-3030
Ica Group LLC,"174 Elizabeth Street Basement B, New York, NY",(212) 226-4642
Ming's Chinese Restaurant,"413 9th Avenue Front, New York, NY",(212) 868-1378
Rolled Taco LLC,"168 Ludlow Street, New York, NY",(212) 780-0121
Neary's Pub,"358 East 57th Street, New York, NY",(212) 751-1434
Connolly's Pub And Restaurant,"14 East 47th Street, New York, NY",(212) 293-1438
Eastwind,"575 Park Avenue, New York, NY",(212) 888-0517
Bonchon Franchise LLC,"575 8th Avenue Room 502, New York, NY",(212) 273-1111
Pomodoro Restaurant,"518 9th Avenue Front A, New York, NY",(212) 239-7019
Elsie Rooftop,"1412 Broadway, New York, NY",(212) 764-1090
Rosa Mexicano,"264 West 40th Street Floor 18, New York, NY",(786) 425-1001
Via Emilia,,
Al Horno Lean Mexican Kitchen,"1089 2nd Avenue, New York, NY",(212) 546-9316
23rd Street Kabob Corporation,"950 3rd Avenue # 901, New York, NY",(718) 707-0037
Wendy's,"1602 Shore Parkway, Brooklyn, NY",(718) 449-2986
Kentucky Fried Chicken,"702 Rockaway Avenue, Brooklyn, NY",(718) 342-5271
Kfc,"495 Nostrand Avenue, Brooklyn, NY",(718) 622-4108
Great Wall Kitchen,"3915 18th Avenue, Brooklyn, NY",(718) 633-0781
Popeye's Chicken & Biscuits,"624 Conduit Boulevard, Brooklyn, NY",(718) 827-7712
Myrtle Burger Ur Way,"154 Adelphi Street, Brooklyn, NY",(347) 294-0650
Joseph Dream Burger,"6185 Strickland Avenue, Brooklyn, NY",(718) 444-4100
Cafe LA Morena Inc,"950 3rd Avenue, Brooklyn, NY",(718) 788-6478
Mcdonald's,"1133 Eastern Parkway, Brooklyn, NY",(718) 493-0800
Burger King,"6201 Avenue U, Brooklyn, NY",(866) 394-2493
Kurt Flamer Caldera,"369 Parkside Avenue, Brooklyn, NY",(718) 282-5244
Mcdonald's 35598,"3143 Atlantic Avenue, Brooklyn, NY",(718) 964-9600
Jianbing Company LLC,"445 Albee Square, Brooklyn, NY",(914) 815-3651
"Great Flavor Restaurant, LLC","1489 Saint Johns Place, Brooklyn, NY",(347) 442-5992
Wendy's 10535,"420 86th Street, Brooklyn, NY",(718) 833-3034
Mcdonald's Restaurant,"5713 Church Avenue, Brooklyn, NY",(718) 922-6085
Mc Donald's,"213 Madison Street, New York, NY",(212) 619-1848
Evas Restaurant & Vitamin Str,"11 West 8th Street Basement, New York, NY",(212) 677-3496
Fortune Sushi Restaurant Incorporated,"900 Hylan Boulevard, Staten Island, NY",(718) 981-8383
Anatolia Mediterranean Cuisine Corporation,"401 East 62nd Street, New York, NY",(212) 223-7500
Yeero Joint LLC,"264 West 40th Street, New York, NY",(212) 944-1372
Whangs Palace,"36 West 47th Street, New York, NY",(212) 719-4019
Fortune Asian,"10335 Queens Boulevard, Forest Hills, NY",(718) 830-6286
Fresh Basil's Trattoria,"930 3rd Avenue, New York, NY",(212) 888-4292
Cluck U Chicken,"112 Washington Street A, Hoboken, NJ",(201) 683-9307
Narita Japanese Restaurant Inc,"10708 70th Road, Forest Hills, NY",(718) 263-2999
Shun Lee Palace,"155 East 55th Street, New York, NY",(212) 371-8844
